group	gt_connection	model_output
['False', 'Bantry', 'Ha Long', 'Guantanamo']	Noted bays	Bay areas of the world 
['Angled', 'Uppers', 'Elating', 'Eighth']	Last letter to front = new word	"The ""Top 10"" lists. "
['Anderson', 'Ono', 'Bowery', 'Beuys']	Performance artists	Artists who died in the 1980s. 
['Spinet', 'Console', 'Player', 'Upright']	Members of the keyboard family	Piano types 
['Allen Carr', 'Gum', 'Hypnosis', 'Patches']	Smoking cessation	Quit smoking aids 
['Dogs', 'Masters', 'God', 'Art']	___ of War	of the week 
['Jaffa', 'Eccles', 'Banbury', 'Chorley']	___ cake	Cake shops in the UK 
['The Flumps', 'Waybuloo', 'Noggin the Nog', 'Engie Benjy']	Childrens TV programmes	British children's television programmes 
['Hawker Siddeley', 'Bristol', 'Vickers-Armstrongs', 'Shorts']	UK aviation companies	British aircraft manufacturers 
['Eleanor', 'Willpower', 'Marmalade', 'Madonna']	"""Lady ___"" songs"	Songs by the same artist 
['Corsage', 'Archives', 'Bombay', 'Organise']	End with a herb	"The French word for ""to arrange"" "
['Beemer', 'Caddy', 'Jag', 'Roller']	Nicknames for car manufacturers	American cars 
['Paterson', 'Irvine', 'Hastings', 'Sole']	Scottish rugby union internationals	Scottish cities 
['Charge', 'Heart', 'Flight', 'Note']	Take ___	Of the 4, 2 are in the same musical group. 
['Slam', 'Cayman', 'Marnier', 'Prix']	Grand ___	Brand names of rum 
['Edith', 'dAbernon', 'Newington', 'Mandeville']	Stoke ___ places	London boroughs 
['Iveco', 'Isuzu', 'Paxman', 'Cummins']	Diesel engine brands	Engine manufacturers 
['Field', 'Canton', 'Hoist', 'Fly']	Parts of a flag	Words for a game of football 
['Newel', 'Bannister', 'Tread', 'Riser']	Parts of a staircase	Staircase parts 
['Black', 'Yorkshire', 'Christmas', 'Summer']	Puddings	Puddings 
['Sampson', 'Potpan', 'Juliet', 'Escalus']	Characters from Romeo and Juliet	Characters in Shakespeare's plays. 
['Mini', 'Gang', 'Oy', 'Young']	___ster	"The word ""Mini"" is a shortened form of ""Miniature"" "
['Pouille', 'Cilic', 'Sock', 'Thiem']	Male tennis players	French tennis players 
['Praetor', 'Consul', 'Aedile', 'Legate']	Roman imperial officials	Roman magistrates 
['DEA', 'ATF', 'CIA', 'IRS']	US government agencies	Federal agencies 
['12', 'Cuba', 'Carbon', 'MI6 Chief']	C	James Bond villains 
['Saints', 'Hallows', 'Present and correct', 'Square']	All __	The Pope's family. 
['Celtic', 'Greek', 'Lorraine', 'Calvary']	Types of cross	Names of the four horsemen of the apocalypse 
['Decree', 'Junta', 'Janitor', 'Octopus']	Words with abbreviated month at start	People who clean up after a mess. 
['Sebastian', 'Prince Eric', 'Flounder', 'Scuttle']	Characters from The Little Mermaid	Disney characters from The Little Mermaid 
['Streak', 'Velvet', 'Thunder', 'Jasmine']	Blue ____ films	Names of the Spice Girls 
['Gone Girl', 'Fight Club', 'Zodiac', 'Panic Room']	David Fincher films	David Fincher films 
['Flashing', 'Dormer', 'Gable', 'Eaves']	Roofing terminology	Roof types 
['Centurion', 'Tiger', 'Abrams', 'Merkava']	Military tanks	Tanks of the world 
['Cross', 'Fist', 'Lady', 'Duke']	Iron ____	"The names of the characters in the film ""The Princess Bride"" "
['Brigade', 'Hose', 'Guard', 'Escape']	Fire ___	From the same book. 
['Connor', 'James', 'Dale', 'Jacques']	Carry On actors	Famous people with the same first name as a famous person. 
['State', 'Department', 'Hundred', 'Riding']	Subnational divisions	Parts of a horse's anatomy 
['Grandee', 'Provost', 'Reeve', 'Nazim']	Local dignitaries	Former heads of the British government 
['Bat', 'Helmet', 'Pads', 'Gloves']	Cricket equipment	Cricket equipment 
['Highlight', 'Ombré', 'Balayage', 'Dip']	Hair colouring techniques	Hair coloring techniques 
['Tornado', 'Iron Duke', 'City of Truro', 'Mallard']	Steam engines	Ducks that have been named after places. 
['Croft', 'Simon', 'Mamet', 'Lean']	Screenwriters named David	Playwrights 
['Hawk', 'Cheeryble', 'Gride', 'Squeers']	Nicholas Nickleby characters	"Characters in ""The Wind in the Willows"" "
['Bikini', 'Stethoscope', 'Daguerrotypes', 'Braille']	Invented by Frenchmen	Medical instruments used by women 
['Prince', 'Fire', 'Stone', 'Phoenix']	Last words of Harry Potter book titles	Rock bands 
['Forsyth', 'Edmonds', 'Holmes', 'Parsons']	Quiz show hosts	Famous detectives 
['Dirndl', 'Hobble', 'Pencil', 'Prairie']	Skirts	Dress-up items for a cowgirl 
['Piloti', 'Pilaster', 'Stanchion', 'Caryatid']	Architectural supports	Architectural supports 
['Vaux', 'Flowers', 'Bass', 'Castle']	British breweries	London pubs 
['Fanny', 'Maria', 'Fairfax', 'Officer Crabtree']	Characters in Allo Allo	"Characters in the film ""The Full Monty"" "
['Bolt', 'Cream', 'Mask', 'Test']	Eye ___	Things that can be used to cover your face 
['Douglas', 'Castletown', 'Ramsey', 'Peel']	Towns on the Isle of Man	Isle of Man towns 
['Police', 'Doors', 'Band', 'Clash']	"Bands called ""The ___"""	Groups of people who are not allowed to enter a building. 
['Ricochet', 'Déjà Vu', 'Malcolm X', 'Inside Man']	Denzel Washington films	Movies directed by Spike Lee 
['Avid', 'Uke', 'Liver', 'Ames']	Boys names missing a letter	Boys names missing a letter 
['Standby', 'Swing', 'Cover', 'Alternate']	Understudies	The Beatles' songs 
['Murphy', 'Parkinson', 'Gresham', 'Sturgeon']	Names of humorous laws	Famous people who have been Prime Ministers of the UK. 
['Hook', 'Bolo', 'Jab', 'Cross']	Punches	Boxing moves 
['Bangla', 'Lal Toofan', 'Cobra', 'Kingfisher']	"""Indian"" beers"	Indian beer brands 
['The Machine', 'The Magic Roundabout', 'Nightingale', 'Michelangelos David']	Florence	Famous sculptures of a man with a sword. 
['Blue', 'Well done', 'Medium', 'Rare']	Meat cooking times	Steak doneness levels 
['Erie', 'Grand', 'Suez', 'Herengracht']	Canals	Canals in Amsterdam 
['Line', 'Plum', 'Beckham', 'Falls']	Victoria ___	People who have been in the news recently. 
['Knees', 'Bike', 'Last legs', 'Marks']	On your ___	Parts of a bicycle 
['Tattoo', 'Invisible', 'Indian', 'Squid']	Types of ink	Ink-based creatures 
['Shadow', 'String', 'Rod', 'Finger']	Types of puppet	Parts of a puppet 
['Globe', 'Apollo', 'Duchess', 'Adelphi']	London theaters	London Underground stations 
['Rangoon', 'Salisbury', 'Tananarive', 'Port Natal']	Former colonial names for cities	Towns in South Africa 
['Wake', 'Chester', 'Hat', 'Mans']	English towns called ___field	Chesterfield hats 
['Fetish', 'Albino', 'Vindaloo', 'Palaver']	From Portuguese	Indian dishes 
['Cheat', 'Carry on', 'Play away', 'Two-time']	Be unfaithful	"The phrase ""The Beatles"" "
['Roger', 'The Mule', 'Ming', 'Paul']	Extraterrestrials	The Beatles
['Pratt', 'Windsor', 'Oriental', 'Four-in-hand']	Necktie knots	Types of suits in a deck of cards 
['Zipper', 'Contra', 'Cherie', 'Squidgy']	___gate scandals	"Slang for ""good"" "
['Daisy', 'Dewey', 'Donald', 'Louie']	Disney ducks	Duck family members 
['Attica', 'Rikers', 'San Quentin', 'Marion']	US prisons	New York City prisons 
['Biting', 'Crisp', 'Snell', 'Rimy']	Cold conditions	"Words that rhyme with ""snell"" "
['Thiem', 'Wurst', 'Doppler', 'Waltz']	Famous Austrians	Tennis players 
['Socrates', 'Leonardo', 'Didi', 'Cafu']	Brazilian international footballers	Famous footballers 
['Wedge', 'Pump', 'Mule', 'Brogue']	Types of shoe	Shoes with a heel 
['The Fat', 'Rubber', 'Milkshake', 'Peking']	____ Duck	Ducking, Ducking, Ducking, Ducking 
['Grand Canyon', 'Keystone', 'Bluegrass', 'Silver']	Official nicknames of US states	States in the US
['Drive', 'The Great Beyond', 'Stand', 'Man on the Moon']	REM singles	The Great British Bake Off 
['Ban', 'Piano', 'Hadid', 'Goldfinger']	Famous architects	James Bond villains 
['Platoon', 'Corps', 'Battery', 'Cohort']	Military units	Military units 
['Sandman', 'Brightside', 'Vain', 'Bojangles']	"""Mr"" songs"	Songs by the Killers 
['Thinker', 'Gates of Hell', 'Martyr', 'Walking Man']	Rodin sculptures	Art by the same artist 
['Doctor', 'Hazel', 'Hunt', 'Craft']	Witch ___	People who have a surname that is a verb. 
['Ramsay', 'Banks', 'Burn', 'Brown']	Famous people called Gordon	Famous chefs 
['Beano', 'Session', 'Binge', 'Bender']	Drinking sprees	Comic strips 
['Challenger', 'Langdon', 'Van Helsing', 'Frink']	Fictional professors	"Fictional characters in the movie ""The Simpsons"" "
['Wink', 'Bomb', 'Squidger', 'Tiddlies']	Tiddlywinks terminology	Things that can be used to make a noise. 
['Mud', 'Blackberry', 'Rabbit', 'Eskimo']	Types of pie	Songs by the Arctic Monkeys 
['Tangled', 'Mulan', 'Cinderella', 'Fantasia']	Disney animations	Disney films 
['Brittany', 'Munsterlander', 'Italian spinone', 'Pointer']	Gun dogs	Dog breeds 
['Kim', 'Captains Courageous', 'If', 'Gunga Din']	Works by Rudyard Kipling	Books by Rudyard Kipling 
['Level', 'Maroon', 'Sham', 'Heaven']	Bands without their numbers	The colour of the sky. 
['Graupel', 'Saturns rings', 'Cresta Run', 'Granita']	Made of ice	Things that are named after people 
['Bennett', 'Winter', 'Poll', 'Dean']	Premiership football referees	British Prime Ministers 
