group	gt_connection	model_output
['False', 'Bantry', 'Ha Long', 'Guantanamo']	Noted bays	Bay of Pigs landings 
['Angled', 'Uppers', 'Elating', 'Eighth']	Last letter to front = new word	The first three letters of the words. 
['Anderson', 'Ono', 'Bowery', 'Beuys']	Performance artists	"Artists who have a ""New York"" connection. "
['Spinet', 'Console', 'Player', 'Upright']	Members of the keyboard family	Piano types 
['Allen Carr', 'Gum', 'Hypnosis', 'Patches']	Smoking cessation	Quitting aids 
['Dogs', 'Masters', 'God', 'Art']	___ of War	Dogs, Masters, God, Art – Connection: The names of the four elements in the periodic table
['Jaffa', 'Eccles', 'Banbury', 'Chorley']	___ cake	Cake shops in the UK 
['The Flumps', 'Waybuloo', 'Noggin the Nog', 'Engie Benjy']	Childrens TV programmes	British children's television programmes 
['Hawker Siddeley', 'Bristol', 'Vickers-Armstrongs', 'Shorts']	UK aviation companies	British aircraft manufacturers 
['Eleanor', 'Willpower', 'Marmalade', 'Madonna']	"""Lady ___"" songs"	Songs by the same artist 
['Corsage', 'Archives', 'Bombay', 'Organise']	End with a herb	Theatrical productions 
['Beemer', 'Caddy', 'Jag', 'Roller']	Nicknames for car manufacturers	American cars 
['Paterson', 'Irvine', 'Hastings', 'Sole']	Scottish rugby union internationals	Scottish cities with a river in their name. 
['Charge', 'Heart', 'Flight', 'Note']	Take ___	Of the same type of thing. 
['Slam', 'Cayman', 'Marnier', 'Prix']	Grand ___	Cocktails with a French connection. 
['Edith', 'dAbernon', 'Newington', 'Mandeville']	Stoke ___ places	London boroughs 
['Iveco', 'Isuzu', 'Paxman', 'Cummins']	Diesel engine brands	Engine manufacturers 
['Field', 'Canton', 'Hoist', 'Fly']	Parts of a flag	Words for a flagpole's top. 
['Newel', 'Bannister', 'Tread', 'Riser']	Parts of a staircase	Staircase parts 
['Black', 'Yorkshire', 'Christmas', 'Summer']	Puddings	Puddings 
['Sampson', 'Potpan', 'Juliet', 'Escalus']	Characters from Romeo and Juliet	Shakespearean characters 
['Mini', 'Gang', 'Oy', 'Young']	___ster	People's names missing a letter 
['Pouille', 'Cilic', 'Sock', 'Thiem']	Male tennis players	Tennis players who have won the French Open. 
['Praetor', 'Consul', 'Aedile', 'Legate']	Roman imperial officials	Roman magistrates 
