group	gt_connection	model_output
['False', 'Bantry', 'Ha Long', 'Guantanamo']	Noted bays	Places 
['Angled', 'Uppers', 'Elating', 'Eighth']	Last letter to front = new word	Number 
['Anderson', 'Ono', 'Bowery', 'Beuys']	Performance artists	Artists 
['Spinet', 'Console', 'Player', 'Upright']	Members of the keyboard family	Piano 
['Allen Carr', 'Gum', 'Hypnosis', 'Patches']	Smoking cessation	Quitting aids 
['Dogs', 'Masters', 'God', 'Art']	___ of War	Dogma 
['Jaffa', 'Eccles', 'Banbury', 'Chorley']	___ cake	Fruitcake 
['The Flumps', 'Waybuloo', 'Noggin the Nog', 'Engie Benjy']	Childrens TV programmes	Children's TV Shows 
['Hawker Siddeley', 'Bristol', 'Vickers-Armstrongs', 'Shorts']	UK aviation companies	Aircraft manufacturers 
['Eleanor', 'Willpower', 'Marmalade', 'Madonna']	"""Lady ___"" songs"	First names 
['Corsage', 'Archives', 'Bombay', 'Organise']	End with a herb	Words 
['Beemer', 'Caddy', 'Jag', 'Roller']	Nicknames for car manufacturers	Car Brands 
['Paterson', 'Irvine', 'Hastings', 'Sole']	Scottish rugby union internationals	Cities 
['Charge', 'Heart', 'Flight', 'Note']	Take ___	Musical notes 
['Slam', 'Cayman', 'Marnier', 'Prix']	Grand ___	Cocktails 
['Edith', 'dAbernon', 'Newington', 'Mandeville']	Stoke ___ places	London neighborhoods 
['Iveco', 'Isuzu', 'Paxman', 'Cummins']	Diesel engine brands	Engine manufacturers 
['Field', 'Canton', 'Hoist', 'Fly']	Parts of a flag	Verb forms 
['Newel', 'Bannister', 'Tread', 'Riser']	Parts of a staircase	Staircase 
['Black', 'Yorkshire', 'Christmas', 'Summer']	Puddings	Months 
['Sampson', 'Potpan', 'Juliet', 'Escalus']	Characters from Romeo and Juliet	Shakespearean Characters 
['Mini', 'Gang', 'Oy', 'Young']	___ster	Short for 
['Pouille', 'Cilic', 'Sock', 'Thiem']	Male tennis players	Tennis players 
['Praetor', 'Consul', 'Aedile', 'Legate']	Roman imperial officials	Roman Officials 
['DEA', 'ATF', 'CIA', 'IRS']	US government agencies	Federal Agencies 
['12', 'Cuba', 'Carbon', 'MI6 Chief']	C	MI6 
['Saints', 'Hallows', 'Present and correct', 'Square']	All __	Religious 
['Celtic', 'Greek', 'Lorraine', 'Calvary']	Types of cross	Historical Regions 
['Decree', 'Junta', 'Janitor', 'Octopus']	Words with abbreviated month at start	"Ending in ""or"" "
['Sebastian', 'Prince Eric', 'Flounder', 'Scuttle']	Characters from The Little Mermaid	Disney 
['Streak', 'Velvet', 'Thunder', 'Jasmine']	Blue ____ films	Musical Instruments 
['Gone Girl', 'Fight Club', 'Zodiac', 'Panic Room']	David Fincher films	Psychological thrillers 
['Flashing', 'Dormer', 'Gable', 'Eaves']	Roofing terminology	Roofline 
['Centurion', 'Tiger', 'Abrams', 'Merkava']	Military tanks	Military tanks 
['Cross', 'Fist', 'Lady', 'Duke']	Iron ____	Royal Titles 
['Brigade', 'Hose', 'Guard', 'Escape']	Fire ___	Military 
['Connor', 'James', 'Dale', 'Jacques']	Carry On actors	First names 
['State', 'Department', 'Hundred', 'Riding']	Subnational divisions	Government 
['Grandee', 'Provost', 'Reeve', 'Nazim']	Local dignitaries	Titles 
['Bat', 'Helmet', 'Pads', 'Gloves']	Cricket equipment	Baseball 
['Highlight', 'Ombré', 'Balayage', 'Dip']	Hair colouring techniques	Hair coloring 
['Tornado', 'Iron Duke', 'City of Truro', 'Mallard']	Steam engines	Birds 
['Croft', 'Simon', 'Mamet', 'Lean']	Screenwriters named David	Last names 
['Hawk', 'Cheeryble', 'Gride', 'Squeers']	Nicholas Nickleby characters	"Words starting with ""S"" "
['Bikini', 'Stethoscope', 'Daguerrotypes', 'Braille']	Invented by Frenchmen	Disability 
['Prince', 'Fire', 'Stone', 'Phoenix']	Last words of Harry Potter book titles	Mythical Creatures 
['Forsyth', 'Edmonds', 'Holmes', 'Parsons']	Quiz show hosts	Last Names 
['Dirndl', 'Hobble', 'Pencil', 'Prairie']	Skirts	German 
['Piloti', 'Pilaster', 'Stanchion', 'Caryatid']	Architectural supports	Architectural elements 
['Vaux', 'Flowers', 'Bass', 'Castle']	British breweries	Musical instruments 
['Fanny', 'Maria', 'Fairfax', 'Officer Crabtree']	Characters in Allo Allo	Characters in a novel 
['Bolt', 'Cream', 'Mask', 'Test']	Eye ___	Scientific terms 
['Douglas', 'Castletown', 'Ramsey', 'Peel']	Towns on the Isle of Man	Isle of Man 
['Police', 'Doors', 'Band', 'Clash']	"Bands called ""The ___"""	Music 
['Ricochet', 'Déjà Vu', 'Malcolm X', 'Inside Man']	Denzel Washington films	Movies 
['Avid', 'Uke', 'Liver', 'Ames']	Boys names missing a letter	Boys names 
['Standby', 'Swing', 'Cover', 'Alternate']	Understudies	Musical terms 
['Murphy', 'Parkinson', 'Gresham', 'Sturgeon']	Names of humorous laws	Last names 
['Hook', 'Bolo', 'Jab', 'Cross']	Punches	Boxing moves 
['Bangla', 'Lal Toofan', 'Cobra', 'Kingfisher']	"""Indian"" beers"	Indian Airlines 
['The Machine', 'The Magic Roundabout', 'Nightingale', 'Michelangelos David']	Florence	Artworks 
['Blue', 'Well done', 'Medium', 'Rare']	Meat cooking times	Meat doneness 
